session_id,user_id,variant,timestamp,event_type
1055627,3283,variant_b,2023-01-16 19:00:00,page_view
1042101,606,variant_b,2023-01-20 17:00:00,page_view
1042101,606,variant_b,2023-01-20 17:00:10,purchase_completed
1042101,606,variant_b,2023-01-20 17:00:28,purchase_started
1052179,1048,variant_a,2023-01-02 09:00:00,page_view
1141924,629,variant_a,2023-01-15 11:00:00,page_view
1141924,629,variant_a,2023-01-15 11:00:26,purchase_completed
1141924,629,variant_a,2023-01-15 11:00:34,purchase_started
1003205,3847,variant_a,2023-01-07 07:00:00,page_view
1164066,4240,variant_a,2023-01-03 11:00:00,page_view
1090626,4163,variant_b,2023-01-23 12:00:00,page_view
1069786,1586,variant_b,2023-01-10 02:00:00,page_view
1069786,1586,variant_b,2023-01-10 02:00:20,share_link
1069786,1586,variant_b,2023-01-10 02:00:48,purchase_started
1069786,1586,variant_b,2023-01-10 02:01:07,purchase_completed
1070186,613,variant_b,2023-01-05 12:00:00,page_view
1198262,3575,variant_a,2023-01-15 23:00:00,page_view
1092180,431,variant_a,2023-01-12 16:00:00,page_view
1164743,4075,variant_b,2023-01-06 06:00:00,page_view
1164743,4075,variant_b,2023-01-06 06:00:24,share_link
1083378,4285,variant_a,2023-01-01 07:00:00,page_view
1178341,1487,variant_b,2023-01-16 11:00:00,page_view
1187813,2843,variant_a,2023-01-17 13:00:00,page_view
1187813,2843,variant_a,2023-01-17 13:00:18,purchase_started
1187813,2843,variant_a,2023-01-17 13:00:34,purchase_completed
1137792,1142,variant_b,2023-01-01 07:00:00,page_view
1086582,1731,variant_b,2023-01-02 06:00:00,page_view
1149533,4722,variant_a,2023-01-07 12:00:00,page_view
1161713,4389,variant_a,2023-01-09 15:00:00,page_view
1101514,414,variant_b,2023-01-18 07:00:00,page_view
1101514,414,variant_b,2023-01-18 07:00:23,purchase_completed
1101514,414,variant_b,2023-01-18 07:00:46,share_link
1101514,414,variant_b,2023-01-18 07:00:55,purchase_started
1164004,2966,variant_a,2023-01-03 10:00:00,page_view
1164004,2966,variant_a,2023-01-03 10:00:21,purchase_completed
1164004,2966,variant_a,2023-01-03 10:00:38,purchase_started
1062308,1317,variant_b,2023-01-26 10:00:00,page_view
1038015,4190,variant_b,2023-01-07 08:00:00,page_view
1164812,73,variant_a,2023-01-16 18:00:00,page_view
1164812,73,variant_a,2023-01-16 18:00:16,purchase_completed
